"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHL","Chile","2015","2015",79.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2005","2005",77.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2006","2006",80,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2012","2012",78.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2013","2013",71.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2014","2014",70,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CRI","Costa Rica","2015","2015",48.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2005","2005",99.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2006","2006",98.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2007","2007",96.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2008","2008",95.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2009","2009",95.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2010","2010",95.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2011","2011",92.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2012","2012",92.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2013","2013",92.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2014","2014",91.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","HRV","Croatia","2015","2015",92.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CUB","Cuba","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CUB","Cuba","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CUB","Cuba","2007","2007",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CUB","Cuba","2008","2008",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CUB","Cuba","2009","2009",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2010","2010",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2012","2012",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2013","2013",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2014","2014",,"n","Magnitude nil or negligible"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CYP","Cyprus","2015","2015",,"n","Magnitude nil or negligible"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","DOM","Dominican Republic","2005","2005",55.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","DOM","Dominican Republic","2006","2006",55.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","DOM","Dominican Republic","2007","2007",61.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","DOM","Dominican Republic","2008","2008",60.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","DOM","Dominican Republic","2009","2009",60.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2005","2005",90.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2006","2006",91.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2007","2007",36.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2008","2008",50,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2009","2009",58.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","EST","Estonia","2010","2010",85.7,,
